# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
154 3.8375 1.51877 3.87001 1.00884 8.34765
155 3.8625 1.53314 4.11121 1.01643 8.66748
156 3.8875 1.5176 4.35308 1.03043 8.99592
157 3.9125 1.49731 4.59478 1.04881 9.33453
158 3.9375 1.47471 4.83589 1.05941 9.68095
159 3.9625 1.46673 5.07875 1.06591 10.0339
160 3.9875 1.44557 5.32113 1.07883 10.3957
161 4.0125 1.44336 5.56619 1.09148 10.7663
162 4.0375 1.42447 5.81107 1.10365 11.1458
163 4.0625 1.37436 6.05026 1.12286 11.5366
164 4.0875 1.34522 6.28728 1.1369 11.9373
165 4.1125 1.33295 6.52502 1.15209 12.3482
166 4.1375 1.30654 6.76088 1.14908 12.7631
167 4.1625 1.28758 6.99614 1.16171 13.1876
168 4.1875 1.27301 7.23154 1.17118 13.6208
169 4.2125 1.25498 7.46639 1.18311 14.0636
170 4.2375 1.24832 7.70276 1.17967 14.5103
171 4.2625 1.24982 7.94223 1.17817 14.9618
172 4.2875 1.23469 8.18158 1.18945 15.423
173 4.3125 1.23072 8.42295 1.19554 15.8919
174 4.3375 1.21874 8.66475 1.20402 16.3697
175 4.3625 1.21697 8.90899 1.21057 16.8556
176 4.3875 1.20213 9.15303 1.2058 17.3451
177 4.4125 1.19291 9.39795 1.19787 17.837
178 4.4375 1.19814 9.64676 1.20377 18.337
179 4.4625 1.18697 9.89602 1.21411 18.8469
180 4.4875 1.18751 10.1482 1.2021 19.3575
181 4.5125 1.18826 10.4034 1.2113 19.8777
182 4.5375 1.19222 10.6622 1.2059 20.4013
183 4.5625 1.20607 10.927 1.19811 20.9273
184 4.5875 1.21006 11.1955 1.19684 21.4586
185 4.6125 1.20351 11.4655 1.19522 21.9949
186 4.6375 1.2079 11.7395 1.18829 22.5339
187 4.6625 1.19618 12.0137 1.18317 23.0764
188 4.6875 1.19437 12.2904 1.17546 23.6211
189 4.7125 1.19886 12.5712 1.17586 24.1718
190 4.7375 1.18989 12.8528 1.17054 24.7259
191 4.7625 1.1915 13.1378 1.16826 25.2848
192 4.7875 1.18122 13.4233 1.15968 25.8454
193 4.8125 1.17084 13.7093 1.15573 26.4099
194 4.8375 1.17056 13.9982 1.15317 26.9791
195 4.8625 1.16459 14.2885 1.13833 27.5467
196 4.8875 1.14362 14.5766 1.13477 28.1185
197 4.9125 1.13382 14.8652 1.13088 28.694
198 4.9375 1.12676 15.1548 1.12588 29.2729
199 4.9625 1.10182 15.441 1.12047 29.8549
200 4.9875 1.08726 15.7262 1.11477 30.4398
201 5.0125 1.0685 16.0093 1.10864 31.0272
202 5.0375 1.05812 16.2925 1.10833 31.6204
203 5.0625 1.03954 16.5734 1.09454 32.2121
204 5.0875 1.02741 16.8538 1.0879 32.806
205 5.1125 1.01105 17.1325 1.08212 33.4025
206 5.1375 0.999997 17.4108 1.0827 34.0052
207 5.1625 0.991402 17.6895 1.07866 34.6115
208 5.1875 0.98046 17.9677 1.07147 35.2196
209 5.2125 0.982787 18.2493 1.06351 35.8291
210 5.2375 0.983038 18.5337 1.05097 36.4371
211 5.2625 0.977572 18.8192 1.05708 37.0546
212 5.2875 0.954443 19.1006 1.04116 37.6685
213 5.3125 0.946926 19.3824 1.0441 38.29
214 5.3375 0.938942 19.6645 1.02956 38.9086
215 5.3625 0.938699 19.9491 1.02624 39.531
216 5.3875 0.934173 20.2351 1.02092 40.156
217 5.4125 0.91747 20.5185 1.00743 40.7784
218 5.4375 0.91829 20.8048 1.00273 41.4037
219 5.4625 0.91715 21.0934 0.999364 42.0326
220 5.4875 0.918826 21.3852 0.993295 42.6635
221 5.5125 0.913804 21.678 0.984672 43.2946
222 5.5375 0.90404 21.9704 0.982589 43.93
223 5.5625 0.905832 22.2659 0.981017 44.5702
224 5.5875 0.902345 22.563 0.974028 45.2116
225 5.6125 0.900872 22.8623 0.969644 45.8558
226 5.6375 0.908296 23.1667 0.95858 46.4983
227 5.6625 0.90887 23.474 0.957557 47.1459
228 5.6875 0.900648 23.7812 0.947538 47.7923
