# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
147 3.6625 0.897004 4.13735 0.931655 7.74245
148 3.6875 0.898086 4.26613 0.93446 8.01044
149 3.7125 0.897682 4.3966 0.941256 8.28405
150 3.7375 0.905637 4.53001 0.944507 8.56232
151 3.7625 0.896388 4.66382 0.944372 8.84428
152 3.7875 0.894212 4.7991 0.952119 9.13235
153 3.8125 0.89194 4.93581 0.95519 9.42517
154 3.8375 0.892698 5.07445 0.961158 9.7237
155 3.8625 0.902176 5.21638 0.959636 10.0257
156 3.8875 0.89997 5.35981 0.96816 10.3342
157 3.9125 0.907059 5.50624 0.974365 10.6488
158 3.9375 0.903895 5.65402 0.979554 10.9691
159 3.9625 0.913865 5.80534 0.981109 11.294
160 3.9875 0.916109 5.95894 0.985559 11.6245
161 4.0125 0.921495 6.1154 0.997062 11.9631
162 4.0375 0.927057 6.27477 0.996087 12.3056
163 4.0625 0.925478 6.43584 0.999982 12.6537
164 4.0875 0.941464 6.60172 1.00872 13.0091
165 4.1125 0.945752 6.77039 1.01504 13.3712
166 4.1375 0.964353 6.94448 1.01847 13.7389
167 4.1625 0.965765 7.12094 1.02266 14.1126
168 4.1875 0.986562 7.30338 1.029 14.4932
169 4.2125 0.990242 7.48868 1.03113 14.8791
170 4.2375 1.00085 7.6782 1.03607 15.2715
171 4.2625 1.01664 7.87299 1.0415 15.6706
172 4.2875 1.01609 8.06996 1.04176 16.0745
173 4.3125 1.03395 8.27274 1.04648 16.4849
174 4.3375 1.0406 8.4792 1.0541 16.9032
175 4.3625 1.04195 8.68831 1.05378 17.3262
176 4.3875 1.04492 8.90043 1.05331 17.7538
177 4.4125 1.04507 9.11501 1.05709 18.1879
178 4.4375 1.05051 9.33315 1.06248 18.6292
179 4.4625 1.04739 9.55311 1.0666 19.0772
180 4.4875 1.04836 9.77574 1.06872 19.5311
181 4.5125 1.04713 10.0006 1.06775 19.9896
182 4.5375 1.04065 10.2265 1.07098 20.4547
183 4.5625 1.0378 10.4544 1.06518 20.9223
184 4.5875 1.0289 10.6827 1.06486 21.395
185 4.6125 1.02564 10.9128 1.0608 21.871
186 4.6375 1.02522 11.1453 1.06239 22.3529
187 4.6625 1.01662 11.3784 1.05988 22.8388
188 4.6875 1.01818 11.6143 1.06018 23.3301
189 4.7125 1.01689 11.8524 1.05626 23.8249
190 4.7375 1.01255 12.0921 1.05658 24.325
191 4.7625 1.00211 12.3318 1.05209 24.8283
192 4.7875 1.00464 12.5746 1.04801 25.3349
193 4.8125 1.00287 12.8195 1.04225 25.844
194 4.8375 0.996851 13.0656 1.03928 26.357
195 4.8625 0.992296 13.313 1.03428 26.8727
196 4.8875 0.993087 13.5631 1.03132 27.3923
197 4.9125 0.992874 13.8158 1.02574 27.9144
198 4.9375 0.992207 14.0709 1.02603 28.442
199 4.9625 0.987266 14.3273 1.02044 28.972
200 4.9875 0.991708 14.5874 1.01831 29.5062
201 5.0125 0.992037 14.8503 1.01484 30.044
202 5.0375 0.992504 15.1159 1.0127 30.586
203 5.0625 0.990847 15.3837 1.01149 31.1328
204 5.0875 0.993138 15.6547 1.00772 31.6829
205 5.1125 0.998342 15.9299 1.00869 32.2389
206 5.1375 1.00223 16.2089 1.00577 32.7988
207 5.1625 1.00193 16.4905 1.00297 33.3626
208 5.1875 1.00812 16.7766 1.00387 33.9323
209 5.2125 1.01507 17.0674 1.00284 34.507
210 5.2375 1.01297 17.3604 0.998882 35.0849
211 5.2625 1.01774 17.6576 1.00075 35.6694
212 5.2875 1.02216 17.959 0.999453 36.2588
213 5.3125 1.02404 18.2638 0.998656 36.8532
214 5.3375 1.03325 18.5742 0.99872 37.4533
215 5.3625 1.02989 18.8865 0.999441 38.0595
216 5.3875 1.03727 19.204 0.996664 38.6696
217 5.4125 1.04334 19.5263 0.998691 39.2866
218 5.4375 1.04371 19.8517 0.994525 39.9068
219 5.4625 1.04358 20.1801 0.99326 40.5319
220 5.4875 1.04361 20.5115 0.995121 41.1639
221 5.5125 1.04642 20.8468 0.996437 41.8025
222 5.5375 1.04614 21.1851 0.995583 42.4464
223 5.5625 1.05025 21.5278 0.996277 43.0966
224 5.5875 1.05117 21.8739 0.998643 43.7541
225 5.6125 1.05175 22.2233 0.997611 44.4169
226 5.6375 1.0485 22.5747 0.99925 45.0867
227 5.6625 1.04917 22.9294 0.999511 45.7626
228 5.6875 1.04708 23.2866 0.998075 46.4436
229 5.7125 1.04504 23.6462 0.998115 47.1305
230 5.7375 1.04288 24.0083 1.001 47.8255
231 5.7625 1.03926 24.3722 0.999621 48.5256
232 5.7875 1.03566 24.738 1.00262 49.2339
233 5.8125 1.03673 25.1074 1.00454 49.9497
234 5.8375 1.03145 25.478 1.00283 50.6704
235 5.8625 1.03293 25.8524 1.00633 51.3999
236 5.8875 1.02082 26.2255 1.00715 52.1362
237 5.9125 1.02137 26.6021 1.00909 52.8802
238 5.9375 1.0189 26.9809 1.00954 53.6308
239 5.9625 1.01083 27.3598 1.01274 54.3902
240 5.9875 1.00835 27.741 1.00872 55.1529
241 6.0125 1.00417 28.1238 1.01149 55.9241
242 6.0375 1.00417 28.5098 1.01212 56.7022
243 6.0625 1.00574 28.8997 1.01199 57.4866
244 6.0875 1.0028 29.2915 1.01117 58.277
245 6.1125 0.998842 29.6851 1.01076 59.0734
246 6.1375 0.997313 30.0813 1.01185 59.8773
247 6.1625 0.993291 30.4791 1.01002 60.6863
248 6.1875 0.99475 30.8807 1.01255 61.5039
249 6.2125 0.99511 31.2857 1.01273 62.3283
250 6.2375 0.993486 31.6933 1.01321 63.1597
251 6.2625 0.994972 32.1048 1.01353 63.998
252 6.2875 0.991769 32.5183 1.01005 64.8402
253 6.3125 0.990203 32.9343 1.01169 65.6905
254 6.3375 0.988722 33.3531 1.00875 66.545
255 6.3625 0.992563 33.7768 1.01156 67.4086
256 6.3875 0.990441 34.203 1.01017 68.2779
257 6.4125 0.985704 34.6304 1.00829 69.1523
258 6.4375 0.985 35.0609 1.01021 70.0353
259 6.4625 0.986715 35.4954 1.00877 70.9239
260 6.4875 0.983184 35.9318 1.00988 71.8203
261 6.5125 0.986009 36.3728 1.00875 72.7226
262 6.5375 0.985335 36.8169 1.00827 73.6315
263 6.5625 0.983398 37.2635 1.00905 74.548
264 6.5875 0.985326 37.7144 1.00748 75.4701
265 6.6125 0.988466 38.1702 1.00629 76.3981
266 6.6375 0.987118 38.6288 1.00605 77.3329
267 6.6625 0.993332 39.0938 1.00776 78.2764
268 6.6875 0.994751 39.5629 1.00468 79.2241
269 6.7125 0.996408 40.0364 1.00852 80.1825
270 6.7375 0.998919 40.5146 1.00605 81.1457
271 6.7625 0.993948 40.9939 1.00623 82.1162
272 6.7875 0.996311 41.478 1.00482 83.0925
273 6.8125 0.997975 41.9664 1.00405 84.0753
274 6.8375 0.997269 42.458 1.00513 85.0664
275 6.8625 1.00061 42.955 1.00561 86.0652
276 6.8875 1.00259 43.4565 1.00418 87.0699
277 6.9125 1.00082 43.9608 1.00733 88.0851
278 6.9375 1.00677 44.4718 1.00588 89.1061
279 6.9625 1.00769 44.9869 1.00753 90.1362
280 6.9875 1.00455 45.5042 1.00603 91.1722
281 7.0125 1.00693 46.0263 1.00601 92.2156
282 7.0375 1.0099 46.5538 1.00784 93.2684
283 7.0625 1.00971 47.0849 1.00781 94.3286
284 7.0875 1.01469 47.6224 1.00695 95.3954
285 7.1125 1.01287 48.1627 1.01001 96.473
286 7.1375 1.01458 48.7078 1.0084 97.5565
287 7.1625 1.01789 49.2585 1.00844 98.6476
288 7.1875 1.01651 49.8122 1.00931 99.7473
289 7.2125 1.0131 50.368 1.0078 100.853
290 7.2375 1.01451 50.9284 1.00708 101.966
291 7.2625 1.01558 51.4933 1.00748 103.086
292 7.2875 1.01656 52.0626 1.00738 104.215
293 7.3125 1.01759 52.6364 1.00644 105.35
294 7.3375 1.01554 53.213 1.00819 106.495
295 7.3625 1.01492 53.7932 1.00965 107.649
296 7.3875 1.01541 54.3775 1.01031 108.812
297 7.4125 1.01534 54.9659 1.0088 109.981
298 7.4375 1.01542 55.5582 1.00892 111.158
299 7.4625 1.01423 56.1538 1.00783 112.342
300 7.4875 1.01213 56.7522 1.00592 113.531
301 7.5125 1.01081 57.3538 1.00836 114.731
302 7.5375 1.01353 57.961 1.00694 115.938
303 7.5625 1.01435 58.5728 1.00825 117.154
304 7.5875 1.01374 59.1882 1.00601 118.376
305 7.6125 1.01351 59.8076 1.00935 119.609
306 7.6375 1.0154 60.4322 1.00482 120.845
307 7.6625 1.01699 61.0619 1.00714 122.093
