# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
148 3.6875 0.96683 4.42213 0.955838 8.79164
149 3.7125 0.967166 4.56271 0.965781 9.07238
150 3.7375 0.961399 4.70433 0.967517 9.35742
151 3.7625 0.957976 4.84734 0.972395 9.64776
152 3.7875 0.94552 4.99038 0.97444 9.94257
153 3.8125 0.94355 5.13501 0.983721 10.2441
154 3.8375 0.937252 5.28056 0.984138 10.5498
155 3.8625 0.935694 5.42777 0.989261 10.8611
156 3.8875 0.937613 5.57719 0.992681 11.1775
157 3.9125 0.929618 5.72726 0.987291 11.4962
158 3.9375 0.928921 5.87913 0.99773 11.8225
159 3.9625 0.936306 6.03417 0.992035 12.151
160 3.9875 0.927257 6.18965 0.986792 12.4819
161 4.0125 0.918786 6.34564 0.989 12.8178
162 4.0375 0.923978 6.50448 0.984157 13.1561
163 4.0625 0.92623 6.66568 0.983838 13.4986
164 4.0875 0.927804 6.82915 0.980737 13.8442
165 4.1125 0.929973 6.99501 0.982839 14.1948
166 4.1375 0.929252 7.16277 0.980013 14.5486
167 4.1625 0.923842 7.33157 0.97808 14.906
168 4.1875 0.927351 7.50305 0.969498 15.2646
169 4.2125 0.931206 7.67731 0.974351 15.6292
170 4.2375 0.929769 7.85337 0.966749 15.9954
171 4.2625 0.925549 8.0307 0.969032 16.3667
172 4.2875 0.922886 8.20961 0.961208 16.7394
173 4.3125 0.938999 8.39376 0.962977 17.1171
174 4.3375 0.940983 8.58046 0.963746 17.4995
175 4.3625 0.93946 8.769 0.960375 17.885
176 4.3875 0.94206 8.96024 0.95677 18.2734
177 4.4125 0.937406 9.15271 0.955037 18.6656
178 4.4375 0.936276 9.34713 0.953606 19.0617
179 4.4625 0.942993 9.54517 0.952856 19.4619
180 4.4875 0.941486 9.7451 0.957108 19.8684
181 4.5125 0.951504 9.94942 0.955742 20.2788
182 4.5375 0.952758 10.1563 0.955464 20.6937
183 4.5625 0.955192 10.366 0.956792 21.1138
184 4.5875 0.968015 10.5808 0.957431 21.5388
185 4.6125 0.970387 10.7985 0.956892 21.9681
186 4.6375 0.975782 11.0198 0.958982 22.4031
187 4.6625 0.982609 11.2451 0.960902 22.8437
188 4.6875 0.990788 11.4747 0.962456 23.2897
189 4.7125 0.989004 11.7063 0.966763 23.7425
190 4.7375 1 11.9429 0.965375 24.1995
191 4.7625 1.00525 12.1834 0.966262 24.6617
192 4.7875 1.01615 12.429 0.965536 25.1285
193 4.8125 1.02562 12.6795 0.975553 25.605
194 4.8375 1.02309 12.932 0.973934 26.0857
195 4.8625 1.01874 13.186 0.977586 26.5732
196 4.8875 1.02268 13.4436 0.984339 27.0691
197 4.9125 1.01959 13.7031 0.980775 27.5683
198 4.9375 1.02243 13.9659 0.984268 28.0744
199 4.9625 1.02371 14.2318 0.980037 28.5834
200 4.9875 1.02044 14.4995 0.989435 29.1025
201 5.0125 1.01048 14.7672 0.993975 29.6292
202 5.0375 1.00658 15.0366 0.995877 30.1622
203 5.0625 1.01477 15.3108 1.00154 30.7036
204 5.0875 1.01207 15.5871 1.00334 31.2513
205 5.1125 1.01433 15.8666 1.00353 31.8045
206 5.1375 1.01923 16.1503 1.00892 32.3662
207 5.1625 1.01415 16.4354 1.00873 32.9332
208 5.1875 1.01756 16.7241 1.00895 33.5058
209 5.2125 1.01627 17.0153 1.01178 34.0856
210 5.2375 1.02072 17.3106 1.01769 34.6744
211 5.2625 1.02243 17.6092 1.02099 35.2708
212 5.2875 1.0218 17.9104 1.02029 35.8724
213 5.3125 1.02592 18.2158 1.02626 36.4832
214 5.3375 1.03045 18.5253 1.02885 37.1014
215 5.3625 1.03644 18.8396 1.02147 37.7209
216 5.3875 1.04119 19.1583 1.03106 38.3521
217 5.4125 1.03545 19.4782 1.02947 38.9882
218 5.4375 1.04083 19.8027 1.03215 39.6318
