# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
160 3.9875 1.36434 5.77663 1.37163 11.2091
161 4.0125 1.3481 6.00551 1.36479 11.6725
162 4.0375 1.32331 6.233 1.35567 12.1386
163 4.0625 1.30782 6.46061 1.34138 12.6055
164 4.0875 1.29746 6.68921 1.34508 13.0795
165 4.1125 1.28429 6.91827 1.31849 13.5498
166 4.1375 1.25289 7.14445 1.31075 14.0231
167 4.1625 1.24987 7.37282 1.29713 14.4971
168 4.1875 1.23277 7.60078 1.26035 14.9632
169 4.2125 1.20667 7.82658 1.25963 15.4346
170 4.2375 1.18518 8.05101 1.23943 15.904
171 4.2625 1.19919 8.28078 1.22004 16.3715
172 4.2875 1.17965 8.50945 1.21986 16.8445
173 4.3125 1.17698 8.74029 1.19943 17.315
174 4.3375 1.16055 8.97054 1.17839 17.7825
175 4.3625 1.137 9.19873 1.17504 18.2542
176 4.3875 1.13193 9.42852 1.1565 18.7237
177 4.4125 1.12908 9.66034 1.14548 19.1941
178 4.4375 1.1208 9.89308 1.13548 19.6657
179 4.4625 1.11744 10.1277 1.12983 20.1402
180 4.4875 1.10851 10.3632 1.11947 20.6157
181 4.5125 1.10833 10.6011 1.10876 21.0919
182 4.5375 1.10743 10.8416 1.1032 21.5709
183 4.5625 1.113 11.0859 1.09488 22.0516
184 4.5875 1.11059 11.3324 1.08088 22.5314
185 4.6125 1.11412 11.5823 1.08242 23.0171
186 4.6375 1.11879 11.8361 1.07037 23.5026
187 4.6625 1.10754 12.09 1.06439 23.9906
188 4.6875 1.1133 12.348 1.05698 24.4804
189 4.7125 1.11021 12.608 1.05102 24.9727
190 4.7375 1.10554 12.8696 1.04574 25.4677
191 4.7625 1.11363 13.136 1.04107 25.9657
192 4.7875 1.11283 13.4049 1.03725 26.4672
193 4.8125 1.11264 13.6767 1.02809 26.9693
194 4.8375 1.11043 13.9507 1.0185 27.472
195 4.8625 1.12545 14.2313 1.01651 27.9789
196 4.8875 1.12228 14.5141 1.00873 28.4871
197 4.9125 1.11617 14.7981 1.00861 29.0005
198 4.9375 1.11209 15.084 0.998067 29.5137
199 4.9625 1.08715 15.3663 0.993071 30.0295
200 4.9875 1.0873 15.6516 0.995006 30.5515
201 5.0125 1.09275 15.9411 0.98753 31.0748
202 5.0375 1.05702 16.224 0.989879 31.6046
203 5.0625 1.04137 16.5054 0.985445 32.1373
204 5.0875 1.01495 16.7824 0.987343 32.6763
205 5.1125 0.9981 17.0575 0.990944 33.2225
206 5.1375 0.987763 17.3325 0.982967 33.7697
207 5.1625 0.971922 17.6056 0.983521 34.3226
208 5.1875 0.956639 17.8771 0.980293 34.8789
209 5.2125 0.947031 18.1484 0.977831 35.4393
210 5.2375 0.930959 18.4178 0.985734 36.0096
211 5.2625 0.921895 18.687 0.97782 36.5807
212 5.2875 0.909993 18.9553 0.985868 37.162
213 5.3125 0.910235 19.2262 0.975108 37.7425
214 5.3375 0.888364 19.4931 0.978876 38.3306
215 5.3625 0.877957 19.7593 0.975014 38.922
216 5.3875 0.878747 20.0283 0.971156 39.5165
217 5.4125 0.874419 20.2984 0.972305 40.1172
218 5.4375 0.858346 20.566 0.969647 40.7219
219 5.4625 0.859851 20.8366 0.966401 41.3301
220 5.4875 0.851263 21.1069 0.965307 41.9431
221 5.5125 0.847085 21.3784 0.96268 42.5601
222 5.5375 0.850509 21.6534 0.962194 43.1824
223 5.5625 0.847984 21.9301 0.953986 43.805
224 5.5875 0.850998 22.2103 0.950951 44.4311
225 5.6125 0.846565 22.4915 0.945599 45.0593
226 5.6375 0.845981 22.775 0.946279 45.6936
227 5.6625 0.846379 23.0612 0.941121 46.3301
228 5.6875 0.842927 23.3487 0.945178 46.9749
229 5.7125 0.840186 23.6379 0.935783 47.619
230 5.7375 0.844489 23.931 0.9404 48.2719
231 5.7625 0.850699 24.2289 0.928567 48.9222
232 5.7875 0.85687 24.5316 0.936423 49.5837
233 5.8125 0.862496 24.8389 0.933521 50.2489
234 5.8375 0.874061 25.153 0.935498 50.9213
235 5.8625 0.87381 25.4697 0.934758 51.5989
236 5.8875 0.877895 25.7906 0.931761 52.28
237 5.9125 0.883154 26.1161 0.93443 52.969
238 5.9375 0.896781 26.4495 0.934681 53.664
239 5.9625 0.898799 26.7865 0.939096 54.3681
240 5.9875 0.9121 27.1313 0.941553 55.08
241 6.0125 0.917279 27.481 0.940094 55.7968
242 6.0375 0.933216 27.8397 0.943576 56.5222
243 6.0625 0.939248 28.2038 0.936532 57.2482
244 6.0875 0.956255 28.5775 0.94142 57.984
245 6.1125 0.960505 28.9559 0.943081 58.7271
246 6.1375 0.962086 29.3381 0.946648 59.4792
247 6.1625 0.963872 29.7241 0.951125 60.241
248 6.1875 0.973003 30.1169 0.954204 61.0115
249 6.2125 0.981675 30.5165 0.952393 61.7868
250 6.2375 0.991991 30.9235 0.960239 62.5747
251 6.2625 0.991691 31.3336 0.96067 63.3693
252 6.2875 0.998861 31.75 0.970418 64.1785
253 6.3125 1.00266 32.1714 0.972653 64.9959
254 6.3375 1.00443 32.5968 0.978617 65.8249
255 6.3625 1.01899 33.0318 0.979562 66.6612
256 6.3875 1.02166 33.4714 0.979881 67.5044
257 6.4125 1.03141 33.9186 0.985337 68.359
258 6.4375 1.03906 34.3727 0.986909 69.2216
259 6.4625 1.04399 34.8325 0.989125 70.0928
260 6.4875 1.05256 35.2997 0.996579 70.9774
261 6.5125 1.05222 35.7703 0.99902 71.8711
262 6.5375 1.04738 36.2423 1.00026 72.7727
263 6.5625 1.04992 36.7192 1.00409 73.6848
264 6.5875 1.05397 37.2015 1.01109 74.6101
265 6.6125 1.05262 37.6868 1.00799 75.5397
266 6.6375 1.05312 38.1761 1.01104 76.4792
267 6.6625 1.0465 38.666 1.01395 77.4284
268 6.6875 1.0436 39.1582 1.01564 78.3864
269 6.7125 1.05064 39.6574 1.0149 79.3509
270 6.7375 1.04784 40.159 1.01505 80.3227
271 6.7625 1.04626 40.6636 1.02191 81.3084
272 6.7875 1.05131 41.1743 1.02231 82.3017
273 6.8125 1.04796 41.6872 1.02902 83.3089
274 6.8375 1.04985 42.2048 1.03019 84.3247
275 6.8625 1.05137 42.7269 1.02899 85.3468
276 6.8875 1.04557 43.25 1.03002 86.3773
277 6.9125 1.04587 43.777 1.03219 87.4175
278 6.9375 1.05137 44.3106 1.03529 88.4684
