# Time-averaged data for fix outadOt
# TimeStep Number-of-rows
# Row c_adOtight[1] c_adOtight[2] c_adOtight[3]
20000000 360
306 152.75 0.0146533 0.000365439
307 153.25 0.0154958 0.000389131
308 153.75 0.0165158 0.000414121
309 154.25 0.0172233 0.000440225
310 154.75 0.0183433 0.000468052
311 155.25 0.0194475 0.00049748
312 155.75 0.020425 0.000528408
313 156.25 0.0220528 0.000561367
314 156.75 0.0235525 0.000596777
315 157.25 0.0240733 0.000632876
316 157.75 0.0249678 0.000670093
317 158.25 0.0269753 0.000710356
318 158.75 0.0284242 0.000752544
319 159.25 0.0289358 0.000795347
320 159.75 0.0311412 0.000841338
321 160.25 0.0319795 0.000888589
322 160.75 0.0334333 0.000937915
323 161.25 0.0355982 0.000990166
324 161.75 0.0356958 0.00104264
325 162.25 0.0378628 0.00109808
326 162.75 0.0395728 0.00115595
327 163.25 0.0406753 0.00121517
328 163.75 0.0414293 0.00127542
329 164.25 0.0428145 0.00133773
330 164.75 0.0440703 0.0014018
331 165.25 0.044638 0.00146658
332 165.75 0.046334 0.00153319
333 166.25 0.0471108 0.00160122
334 166.75 0.047885 0.00167039
335 167.25 0.0474977 0.00173884
336 167.75 0.0489158 0.00180911
337 168.25 0.048537 0.00187854
338 168.75 0.049572 0.00194963
339 169.25 0.0480713 0.00201855
340 169.75 0.0482237 0.0020876
341 170.25 0.0476353 0.00215555
342 170.75 0.0465983 0.00222189
343 171.25 0.046275 0.00228764
344 171.75 0.0452525 0.00235214
345 172.25 0.0436915 0.00241442
346 172.75 0.0420092 0.00247413
347 173.25 0.0400803 0.00253091
348 173.75 0.03793 0.00258503
349 174.25 0.03585 0.00263601
350 174.75 0.0339712 0.00268401
351 175.25 0.03131 0.00272825
352 175.75 0.0281342 0.00276812
353 176.25 0.0258637 0.00280469
354 176.75 0.0225617 0.00283661
355 177.25 0.0194417 0.00286403
356 177.75 0.0158517 0.00288647
357 178.25 0.0123753 0.00290394
358 178.75 0.008925 0.00291662
359 179.25 0.00517167 0.00292397
360 179.75 0.00171833 0.00292643
