# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
149 3.7125 0.952184 7.03214 1.12539 14.4936
150 3.7375 0.96722 7.17463 1.10046 14.8179
151 3.7625 0.953505 7.31697 1.08992 15.1433
152 3.7875 0.945421 7.45999 1.06794 15.4664
153 3.8125 0.954526 7.6063 1.04356 15.7863
154 3.8375 0.960192 7.75542 1.03891 16.109
155 3.8625 0.953651 7.90545 1.01469 16.4282
156 3.8875 0.959747 8.0584 0.991434 16.7443
157 3.9125 0.976977 8.21612 0.977844 17.06
158 3.9375 0.960665 8.37318 0.971904 17.3778
159 3.9625 0.98977 8.53707 0.958864 17.6953
160 3.9875 1.00376 8.70537 0.945506 18.0124
161 4.0125 1.02404 8.87923 0.936397 18.3303
162 4.0375 1.04287 9.05851 0.931381 18.6506
163 4.0625 1.07336 9.24532 0.915658 18.9693
164 4.0875 1.10276 9.43961 0.916552 19.2923
165 4.1125 1.13097 9.64132 0.90313 19.6144
166 4.1375 1.16694 9.85199 0.898855 19.939
167 4.1625 1.20069 10.0714 0.889527 20.264
168 4.1875 1.23477 10.2997 0.892524 20.5941
169 4.2125 1.24782 10.5332 0.887867 20.9264
170 4.2375 1.24544 10.769 0.888129 21.2627
171 4.2625 1.24938 11.0084 0.885101 21.6019
172 4.2875 1.23846 11.2485 0.884068 21.9447
173 4.3125 1.19857 11.4836 0.881331 22.2904
174 4.3375 1.14135 11.71 0.889736 22.6434
175 4.3625 1.08827 11.9284 0.886294 22.9992
176 4.3875 1.0327 12.1381 0.896235 23.363
177 4.4125 0.970817 12.3374 0.888592 23.7279
178 4.4375 0.923599 12.5292 0.886181 24.096
179 4.4625 0.899875 12.7182 0.889029 24.4694
180 4.4875 0.866402 12.9022 0.900083 24.8517
181 4.5125 0.836757 13.0818 0.906995 25.2412
182 4.5375 0.820055 13.2599 0.911318 25.6369
183 4.5625 0.805968 13.4368 0.918988 26.0404
184 4.5875 0.797613 13.6138 0.926538 26.4516
185 4.6125 0.797057 13.7926 0.934707 26.871
186 4.6375 0.791221 13.9721 0.948665 27.3014
187 4.6625 0.797568 14.1549 0.952139 27.7379
188 4.6875 0.803174 14.341 0.964819 28.185
189 4.7125 0.801934 14.5288 0.970269 28.6395
190 4.7375 0.810942 14.7208 0.972784 29.1
191 4.7625 0.817209 14.9162 0.975799 29.5668
192 4.7875 0.811034 15.1123 0.969844 30.0356
193 4.8125 0.812088 15.3106 0.964759 30.5068
194 4.8375 0.817129 15.5123 0.9639 30.9826
195 4.8625 0.826916 15.7184 0.955769 31.4592
196 4.8875 0.823778 15.926 0.953171 31.9394
197 4.9125 0.833412 16.138 0.941225 32.4185
198 4.9375 0.834057 16.3525 0.938613 32.9011
199 4.9625 0.850703 16.5734 0.927485 33.3828
200 4.9875 0.856911 16.7982 0.931562 33.8716
201 5.0125 0.858783 17.0257 0.925407 34.3619
202 5.0375 0.857604 17.2552 0.918197 34.8534
203 5.0625 0.862642 17.4884 0.917254 35.3492
204 5.0875 0.869279 17.7256 0.91677 35.8496
205 5.1125 0.880172 17.9682 0.921368 36.3576
206 5.1375 0.883896 18.2143 0.925671 36.8729
207 5.1625 0.894641 18.4657 0.933299 37.3975
208 5.1875 0.893068 18.7191 0.93924 37.9305
209 5.2125 0.908098 18.9793 0.938532 38.4684
210 5.2375 0.913346 19.2435 0.946438 39.0159
211 5.2625 0.9227 19.513 0.952781 39.5724
212 5.2875 0.939604 19.79 0.958183 40.1374
213 5.3125 0.945532 20.0714 0.962323 40.7102
214 5.3375 0.967318 20.362 0.966236 41.2908
215 5.3625 0.969729 20.6561 0.970001 41.8791
216 5.3875 0.970454 20.9532 0.974587 42.4757
217 5.4125 0.979005 21.2556 0.976416 43.079
218 5.4375 0.982307 21.5619 0.975957 43.6876
219 5.4625 0.988702 21.873 0.986827 44.3086
220 5.4875 1.00979 22.1936 0.989256 44.9369
221 5.5125 1.01385 22.5185 0.995696 45.5751
222 5.5375 1.01427 22.8465 0.996536 46.2196
223 5.5625 1.02982 23.1825 1.00141 46.8731
224 5.5875 1.03031 23.5217 1.0143 47.5409
225 5.6125 1.03103 23.8642 1.01165 48.213
226 5.6375 1.03536 24.2112 1.01124 48.8909
227 5.6625 1.04641 24.5651 1.01154 49.5749
228 5.6875 1.05271 24.9242 1.01945 50.2704
229 5.7125 1.04929 25.2852 1.02281 50.9744
230 5.7375 1.05783 25.6525 1.02421 51.6855
231 5.7625 1.05277 26.0211 1.02131 52.4008
232 5.7875 1.05108 26.3924 1.02053 53.1217
233 5.8125 1.05378 26.7678 1.02517 53.8522
234 5.8375 1.05423 27.1467 1.02824 54.5912
235 5.8625 1.05587 27.5294 1.0302 55.338
236 5.8875 1.05662 27.9156 1.027 56.0888
237 5.9125 1.05412 28.3042 1.03091 56.8489
238 5.9375 1.05611 28.6968 1.02903 57.614
239 5.9625 1.05988 29.0942 1.03237 58.3881
240 5.9875 1.06087 29.4952 1.03629 59.1716
241 6.0125 1.05816 29.8986 1.03614 59.9616
242 6.0375 1.06083 30.3064 1.03588 60.758
243 6.0625 1.06563 30.7194 1.02907 61.5557
244 6.0875 1.06762 31.1366 1.0329 62.363
245 6.1125 1.08295 31.5633 1.03824 63.1812
246 6.1375 1.07612 31.9908 1.03385 64.0025
247 6.1625 1.06867 32.4188 1.03235 64.8294
248 6.1875 1.07574 32.8531 1.02689 65.6586
249 6.2125 1.06934 33.2883 1.03211 66.4987
250 6.2375 1.07156 33.728 1.02608 67.3407
251 6.2625 1.06596 34.1688 1.0246 68.1882
252 6.2875 1.06586 34.6132 1.0278 69.0452
253 6.3125 1.07183 35.0636 1.0197 69.9021
254 6.3375 1.05357 35.5098 1.01856 70.7649
255 6.3625 1.06079 35.9627 1.02629 71.6412
256 6.3875 1.06108 36.4192 1.01802 72.5172
257 6.4125 1.04568 36.8726 1.01633 73.3986
258 6.4375 1.04661 37.33 1.01798 74.2884
259 6.4625 1.04106 37.7885 1.01622 75.1835
260 6.4875 1.03725 38.2489 1.01659 76.0859
261 6.5125 1.03679 38.7126 1.02271 77.0007
262 6.5375 1.03519 39.1792 1.0241 77.9239
263 6.5625 1.03148 39.6476 1.01545 78.8462
264 6.5875 1.02306 40.1158 1.01879 79.7786
265 6.6125 1.02784 40.5897 1.02094 80.7202
