# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
138 3.4375 0.820261 4.76105 1.00835 10.7994
139 3.4625 0.839247 4.86716 1.0055 11.0537
140 3.4875 0.847236 4.97582 0.99198 11.3082
141 3.5125 0.859968 5.08771 0.985788 11.5647
142 3.5375 0.882051 5.20411 0.977303 11.8226
143 3.5625 0.901675 5.32479 0.968146 12.0818
144 3.5875 0.913153 5.44873 0.959986 12.3423
145 3.6125 0.93996 5.57808 0.955083 12.6052
146 3.6375 0.950806 5.71075 0.932916 12.8656
147 3.6625 0.979438 5.8493 0.928336 13.1282
148 3.6875 0.999154 5.99257 0.921631 13.3925
149 3.7125 1.01385 6.13993 0.911995 13.6576
150 3.7375 1.03768 6.29279 0.90547 13.9244
151 3.7625 1.06524 6.45181 0.895487 14.1917
152 3.7875 1.08336 6.6157 0.88268 14.4588
153 3.8125 1.10446 6.78499 0.876336 14.7275
154 3.8375 1.12082 6.95905 0.876152 14.9996
155 3.8625 1.15505 7.14077 0.867175 15.2724
156 3.8875 1.19891 7.33184 0.86721 15.5489
157 3.9125 1.21992 7.52877 0.867082 15.8288
158 3.9375 1.25008 7.73315 0.860227 16.1101
159 3.9625 1.26446 7.94252 0.855567 16.3934
160 3.9875 1.29614 8.15985 0.858261 16.6812
161 4.0125 1.30638 8.38165 0.8603 16.9734
162 4.0375 1.30917 8.60671 0.872729 17.2734
163 4.0625 1.32552 8.8374 0.872306 17.5771
164 4.0875 1.32922 9.0716 0.878178 17.8865
165 4.1125 1.30635 9.30459 0.883274 18.2016
166 4.1375 1.27129 9.53409 0.891425 18.5234
167 4.1625 1.24185 9.76099 0.893953 18.8501
168 4.1875 1.20206 9.98327 0.902968 19.184
169 4.2125 1.16068 10.2005 0.91478 19.5264
170 4.2375 1.13127 10.4147 0.927162 19.8775
171 4.2625 1.0881 10.6232 0.935185 20.2359
172 4.2875 1.06736 10.8301 0.948982 20.6038
173 4.3125 1.04258 11.0346 0.957177 20.9793
174 4.3375 1.00575 11.2341 0.970437 21.3644
175 4.3625 0.995652 11.4339 0.980037 21.7577
176 4.3875 0.990619 11.635 0.988673 22.1591
177 4.4125 0.979084 11.836 0.998438 22.5691
178 4.4375 0.960475 12.0355 1.01747 22.9917
179 4.4625 0.959993 12.2371 1.02831 23.4236
180 4.4875 0.958015 12.4405 1.03425 23.8629
181 4.5125 0.951737 12.6449 1.0485 24.3132
182 4.5375 0.945205 12.8501 1.05793 24.7726
183 4.5625 0.937198 13.0559 1.06438 25.2399
184 4.5875 0.937003 13.2638 1.07189 25.7156
185 4.6125 0.940434 13.4748 1.07704 26.1989
186 4.6375 0.942955 13.6887 1.08116 26.6893
187 4.6625 0.935705 13.9032 1.07738 27.1833
188 4.6875 0.938266 14.1206 1.0814 27.6844
189 4.7125 0.942557 14.3413 1.07665 28.1887
190 4.7375 0.937589 14.5632 1.07032 28.6954
191 4.7625 0.933207 14.7864 1.06426 29.2045
192 4.7875 0.935412 15.0125 1.05648 29.7152
193 4.8125 0.933948 15.2406 1.05343 30.2298
194 4.8375 0.938087 15.4721 1.04592 30.746
195 4.8625 0.934211 15.7051 1.04887 31.269
196 4.8875 0.940796 15.9421 1.04043 31.7932
197 4.9125 0.95099 16.1841 1.04739 32.3263
198 4.9375 0.95104 16.4286 1.03496 32.8584
199 4.9625 0.954391 16.6764 1.03919 33.3982
200 4.9875 0.966396 16.9299 1.03438 33.9409
201 5.0125 0.963819 17.1853 1.03212 34.4878
202 5.0375 0.96061 17.4424 1.03069 35.0394
203 5.0625 0.971293 17.7049 1.02573 35.5939
204 5.0875 0.972908 17.9704 1.02235 36.152
205 5.1125 0.979906 18.2405 1.02337 36.7161
206 5.1375 0.978287 18.5128 1.017 37.2823
