# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
147 3.6625 0.645041 6.27949 1.22321 12.7042
148 3.6875 0.668997 6.37542 1.19405 13.0467
149 3.7125 0.688707 6.47553 1.15119 13.3813
150 3.7375 0.70712 6.57969 1.11012 13.7084
151 3.7625 0.730778 6.68879 1.07038 14.0279
152 3.7875 0.752529 6.80262 1.04 14.3426
153 3.8125 0.790937 6.92386 1.01008 14.6522
154 3.8375 0.823519 7.05175 0.993934 14.961
155 3.8625 0.847153 7.18503 0.973482 15.2673
156 3.8875 0.880278 7.32532 0.9605 15.5734
157 3.9125 0.90648 7.47165 0.951532 15.8806
158 3.9375 0.924365 7.62278 0.955405 16.193
159 3.9625 0.953564 7.78067 0.951948 16.5083
160 3.9875 0.989177 7.94653 0.957166 16.8293
161 4.0125 1.01508 8.11887 0.961325 17.1557
162 4.0375 1.02547 8.29516 0.968436 17.4887
163 4.0625 1.05621 8.47898 0.968088 17.8256
164 4.0875 1.06711 8.667 0.977154 18.17
165 4.1125 1.07347 8.85846 0.987598 18.5222
166 4.1375 1.0746 9.05245 0.995004 18.8815
167 4.1625 1.06778 9.24755 0.998672 19.2464
168 4.1875 1.09068 9.44923 1.00003 19.6163
169 4.2125 1.09728 9.65457 1.01381 19.9957
170 4.2375 1.10137 9.86313 1.00908 20.3779
171 4.2625 1.10274 10.0744 1.01769 20.7678
172 4.2875 1.09784 10.2872 1.0178 21.1625
173 4.3125 1.09517 10.502 1.01649 21.5612
174 4.3375 1.09316 10.7189 1.02151 21.9665
175 4.3625 1.09557 10.9388 1.02679 22.3787
176 4.3875 1.09817 11.1617 1.03699 22.7997
177 4.4125 1.0947 11.3865 1.02605 23.221
178 4.4375 1.09639 11.6141 1.03434 23.6506
179 4.4625 1.10704 11.8466 1.02831 24.0825
180 4.4875 1.086 12.0772 1.02905 24.5195
181 4.5125 1.09317 12.312 1.02001 24.9576
182 4.5375 1.10218 12.5513 1.02401 25.4023
183 4.5625 1.09674 12.792 1.02822 25.8537
184 4.5875 1.10451 13.0372 1.0258 26.309
185 4.6125 1.10044 13.2841 1.02043 26.7669
186 4.6375 1.11301 13.5365 1.01588 27.2277
187 4.6625 1.10418 13.7896 1.0162 27.6936
188 4.6875 1.11647 14.0483 1.01847 28.1656
189 4.7125 1.11002 14.3083 1.01357 28.6403
190 4.7375 1.10304 14.5693 1.00764 29.1173
191 4.7625 1.11045 14.8349 1.01017 29.6005
