# Time-averaged data for fix outadO
# TimeStep Number-of-rows
# Row c_adO[1] c_adO[2] c_adO[3]
20000000 360
279 139.25 0.003244 0.000237461
280 139.75 0.0035225 0.000243481
281 140.25 0.003627 0.000249785
282 140.75 0.00377717 0.000256279
283 141.25 0.00426217 0.000263525
284 141.75 0.0041655 0.00027062
285 142.25 0.00435183 0.000278022
286 142.75 0.0045645 0.000285796
287 143.25 0.0048905 0.000294058
288 143.75 0.00534733 0.000303169
289 144.25 0.00568033 0.000312837
290 144.75 0.00556933 0.000322319
291 145.25 0.00595283 0.000332363
292 145.75 0.00633167 0.000343101
293 146.25 0.006867 0.000354629
294 146.75 0.0074225 0.000367227
295 147.25 0.00760867 0.000379961
296 147.75 0.00793667 0.000393154
297 148.25 0.008616 0.000407593
298 148.75 0.00895933 0.00042251
299 149.25 0.00953767 0.000438433
300 149.75 0.0101606 0.000455161
301 150.25 0.0109238 0.000473076
302 150.75 0.0112965 0.00049168
303 151.25 0.0125492 0.000512383
304 151.75 0.0126382 0.000533096
305 152.25 0.0133422 0.000554878
306 152.75 0.0142172 0.000578115
307 153.25 0.01513 0.000602788
308 153.75 0.015972 0.000628633
309 154.25 0.0167145 0.000655776
310 154.75 0.0176282 0.000684414
311 155.25 0.018692 0.000714727
312 155.75 0.0197148 0.000746528
313 156.25 0.0209907 0.000780215
314 156.75 0.0225358 0.00081646
315 157.25 0.0230265 0.000853359
316 157.75 0.023774 0.000891338
317 158.25 0.025596 0.000932324
318 158.75 0.027022 0.00097521
319 159.25 0.0274275 0.00101879
320 159.75 0.0294745 0.00106545
321 160.25 0.030254 0.0011133
322 160.75 0.0315672 0.00116318
323 161.25 0.0336768 0.0012161
324 161.75 0.0337112 0.00126926
325 162.25 0.0356858 0.0013253
326 162.75 0.0373487 0.00138388
327 163.25 0.038169 0.00144365
328 163.75 0.038899 0.0015044
329 164.25 0.0402787 0.0015673
330 164.75 0.0414028 0.00163191
331 165.25 0.0419167 0.00169713
332 165.75 0.043435 0.00176428
333 166.25 0.0442322 0.00183282
334 166.75 0.0449742 0.00190242
335 167.25 0.0445347 0.00197133
336 167.75 0.0457073 0.00204191
337 168.25 0.0453438 0.00211169
338 168.75 0.0464195 0.00218311
339 169.25 0.0449998 0.00225232
340 169.75 0.0450063 0.00232166
341 170.25 0.0444562 0.0023899
342 170.75 0.0435987 0.00245654
343 171.25 0.0432599 0.00252255
344 171.75 0.0422442 0.00258726
345 172.25 0.0408272 0.00264971
346 172.75 0.0392452 0.00270958
347 173.25 0.0374483 0.00276656
348 173.75 0.0355288 0.00282086
349 174.25 0.0334832 0.00287199
350 174.75 0.0316687 0.00292009
351 175.25 0.0292295 0.00296442
352 175.75 0.0262287 0.00300443
353 176.25 0.0241427 0.0030411
354 176.75 0.0210265 0.00307311
355 177.25 0.0181005 0.00310063
356 177.75 0.0147572 0.00312315
357 178.25 0.0115218 0.00314067
358 178.75 0.0083535 0.00315341
359 179.25 0.004838 0.0031608
360 179.75 0.00161767 0.00316328
