# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
137 3.4125 1.01825 4.79992 1.12898 9.36333
138 3.4375 1.0288 4.92812 1.13604 9.64645
139 3.4625 1.03522 5.059 1.13764 9.93411
140 3.4875 1.05831 5.19474 1.14842 10.2287
141 3.5125 1.07897 5.33512 1.14334 10.5262
142 3.5375 1.09563 5.47971 1.14347 10.828
143 3.5625 1.10715 5.62789 1.14809 11.1353
144 3.5875 1.12663 5.7808 1.14781 11.4469
145 3.6125 1.13586 5.93711 1.14521 11.7621
146 3.6375 1.14843 6.09736 1.14401 12.0814
147 3.6625 1.15 6.26003 1.14323 12.4048
148 3.6875 1.15228 6.42526 1.13709 12.7309
149 3.7125 1.1481 6.59213 1.13599 13.0611
150 3.7375 1.14 6.76006 1.13056 13.3942
151 3.7625 1.12783 6.92843 1.1273 13.7308
152 3.7875 1.1172 7.09744 1.1261 14.0715
153 3.8125 1.10602 7.26697 1.12445 14.4162
154 3.8375 1.09177 7.43652 1.12339 14.7651
155 3.8625 1.07902 7.60628 1.11579 15.1162
156 3.8875 1.0656 7.7761 1.11916 15.4729
157 3.9125 1.05562 7.94651 1.11507 15.8329
158 3.9375 1.04439 8.11726 1.11412 16.1972
159 3.9625 1.02829 8.28752 1.11213 16.5655
160 3.9875 1.0208 8.45869 1.11167 16.9383
161 4.0125 1.00962 8.6301 1.10641 17.314
162 4.0375 0.994186 8.80101 1.09995 17.6922
163 4.0625 0.984535 8.97236 1.09535 18.0735
164 4.0875 0.983473 9.14564 1.08907 18.4572
165 4.1125 0.969525 9.31855 1.0794 18.8423
166 4.1375 0.971886 9.494 1.0619 19.2257
167 4.1625 0.972151 9.67163 1.04979 19.6093
168 4.1875 0.963912 9.84987 1.03503 19.9921
169 4.2125 0.963906 10.0303 1.02515 20.3758
170 4.2375 0.969315 10.2138 1.01267 20.7593
171 4.2625 0.966068 10.3989 0.998084 21.1417
172 4.2875 0.977197 10.5883 0.989642 21.5254
173 4.3125 0.979047 10.7803 0.979484 21.9096
174 4.3375 0.982007 10.9752 0.973434 22.2959
175 4.3625 0.987102 11.1733 0.965336 22.6834
176 4.3875 0.996682 11.3756 0.962035 23.074
177 4.4125 0.995015 11.5799 0.958503 23.4676
178 4.4375 0.996941 11.7869 0.955101 23.8642
179 4.4625 1.00485 11.9979 0.957164 24.2662
180 4.4875 0.999563 12.2102 0.951363 24.6703
181 4.5125 0.999982 12.4249 0.953514 25.0798
182 4.5375 1.00239 12.6426 0.952021 25.4932
183 4.5625 1.0071 12.8637 0.953723 25.9119
184 4.5875 1.00571 13.0869 0.951268 26.3342
185 4.6125 1.00911 13.3133 0.954909 26.7626
186 4.6375 1.01015 13.5424 0.951031 27.194
187 4.6625 1.00965 13.7738 0.956614 27.6326
188 4.6875 1.01289 14.0085 0.952105 28.0739
189 4.7125 1.01255 14.2456 0.958737 28.5229
190 4.7375 1.02229 14.4876 0.958486 28.9766
191 4.7625 1.02594 14.733 0.955459 29.4337
192 4.7875 1.02339 14.9803 0.961821 29.8986
193 4.8125 1.02326 15.2303 0.962384 30.3687
194 4.8375 1.02075 15.4822 0.962647 30.8438
195 4.8625 1.0228 15.7372 0.965143 31.3251
196 4.8875 1.02606 15.9957 0.966907 31.8123
197 4.9125 1.02694 16.257 0.971384 32.3067
198 4.9375 1.02227 16.5198 0.97068 32.8058
199 4.9625 1.02309 16.7855 0.974161 33.3118
200 4.9875 1.01773 17.0525 0.974516 33.823
201 5.0125 1.01876 17.3224 0.979054 34.3419
202 5.0375 1.01484 17.594 0.980076 34.8664
203 5.0625 1.01064 17.8671 0.982618 35.3975
204 5.0875 1.00199 18.1406 0.983976 35.9347
205 5.1125 0.996933 18.4154 0.987549 36.4791
206 5.1375 0.987973 18.6904 0.987413 37.0287
207 5.1625 0.983592 18.9668 0.99107 37.5858
